item_id	item_name	trade	comments					
5.24439E+11	法国妹妹直邮 Babybio伴宝乐Primea2段标准有机奶粉 6-12月	-	1					
5.21732E+11	Babybio伴宝乐PRIMEA 2段标准型有机奶粉法国直邮4罐包邮包税另算	-	72					
5.48174E+11	现货!法国代购Babybio PRIMEA伴宝乐有机奶粉标准型2段奶粉	-	1					
5.44135E+11	【法国直邮】伴宝乐/Babybio primea2段标准有机奶粉6-12月/900g	-	18					
5.36209E+11	Babybio伴宝乐OPTIMA RELAIS 2 标准型有机奶粉2段/4罐法国直邮	-	6					
5.20352E+11	法国直邮babybio伴宝乐 2段（6-12月）标准型奶粉900克6罐包税邮	-	8					
5.40414E+11	法国直邮 babybio 伴宝乐 2段 标准型奶粉 有机配方900克	-	19					
37441287088	Babybio伴宝乐Croissance 3段有机奶粉/法国直邮4罐包邮/包税另算	-	2128					
5.21732E+11	Babybio伴宝乐PRIMEA 2段标准型有机奶粉法国直邮4罐包邮包税另算	-	72					
5.52137E+11	法国进口包邮包税Babybio伴宝乐PRIMEA2段标准有机奶粉婴幼儿宝宝	-	0					
5.23028E+11	法国代购直邮/伴宝乐Babybio Primea 2段标准有机奶粉/6-12月	-	9					
5.23988E+11	海外直邮法国代购babybio伴宝乐有机奶粉 二段900g标准型罐装包邮	-	1					
5.32029E+11	法国进口包邮包税Babybio伴宝乐Croissance3段绿色有机奶粉三段	-	474					
5.50067E+11	【法国直邮】伴宝乐/Babybio primea2段标准有机奶粉6-12月 900g	-	0					
5.51518E+11	Babybio伴宝乐OPTIMA标准2段有机奶粉/法国直邮6罐EMS包邮	-	0					
5.52906E+11	法国代购 babybio伴宝乐有机奶粉2段标准型 900g 6-12个月	-	0					
5.44501E+11	[法国原装] Babybio伴宝乐标准配方有机奶粉2段 900G	-	0					
5.46766E+11	法国代购包税直邮 伴宝乐/BABYBIO 二段标准婴儿奶粉6-12月 900克	-	0					
5.53411E+11	法国Babybio伴宝乐有机奶粉2段标准二段 6－12个月宝宝	-	0					
5.45641E+11	法国伴宝乐BabyBio 2段标准有机奶粉900克/6罐法国直邮/高端有机	-	1					
5.5196E+11	{M豆法国}伴宝乐babybio有机2段成长标准型奶粉 900g*6桶一箱直邮	-	0					
5.4625E+11	法国直邮代购伴宝乐babybio2段二段标准成长型有机牛奶粉 包邮	-	0					
5.47317E+11	法国Babybio伴宝乐2段标准型有机婴儿奶粉6-12个月4罐包税直邮	-	0					
5.48715E+11	法国代购伴宝乐/BABYBIO 二段标准婴儿奶粉6-12月 900克	-	0					
5.2721E+11	法国代购直邮 Babybio伴宝乐PRIMEA有机2段标准配方奶粉 900g6-12	-	1					
5.50213E+11	法国直邮原装伴宝乐BABYBIO2段PRIMEA标准配方婴幼儿牛奶粉900g	-	1					
5.38735E+11	法国代购 / babybio伴宝乐2段 标准型奶粉有机配方900克 6罐包邮	-	0					
5.53557E+11	法国直邮 Babybio伴宝乐有机婴儿奶粉2段 新生儿 成长标准型900g	-	0					
5.21062E+11	【6罐包税直邮】法国伴宝乐Babybio Primea 2段标准有机奶粉	-	0					
5.28168E+11	法国代购包税直邮 伴宝乐/BABYBIO 2段标准 有机婴儿奶粉6-12个月	-	0					
5.3105E+11	法国直邮 Babybio伴宝乐Primea2段标准有机奶粉 6-12月	-	0					
13923946163	6罐包法国直邮 高端BIO奶粉 Babybio标准2二段900克 只直邮	-	0					
5.51608E+11	法国babybio伴宝乐奶粉 标准型二段 900g 六罐装 包邮	-	0					
5.20503E+11	代购 babybio伴宝乐有机奶粉2段标准型900克6个直邮	-	2					
5.3317E+11	Babybio伴宝乐PRIMEA有机奶粉二段2段标准配方900g法国直邮/现货	-	0					
5.25708E+11	法国代购6罐直邮/原装伴宝乐babybio高端有机奶粉2段 标准型配方	-	2					
15128202752	4罐直邮包邮  伴宝乐BABYBIO婴幼儿有机奶粉2段 标准版法国代购	-	0					
45387594005	【定购】法国代购babybio伴宝乐有机奶粉2段标准型900克6个直邮	-	3					
5.46662E+11	法国代购直邮/包税 伴宝乐Babybio2段标准有机奶粉6-12月900g罐装	-	0					
5.42258E+11	法国直邮 法国Babybio伴宝乐标准型有机奶粉2段900g6罐包邮	-	1					
5.48869E+11	法国Babybio伴宝乐PRIMEA 2段标准型天然有机婴儿奶粉6罐直邮包税	-	0					
26728528044	法国直邮6罐包邮babybio伴宝乐2段optima有机天然标准奶粉6-10月	-	0					
5.21081E+11	法国直邮代购 babybio伴宝乐有机二段奶粉 标准版2段  900g	-	1					
5.23224E+11	【6桶直邮】法国伴宝乐babybio有机婴儿奶粉标准2段6-12个月900g	-	0					
5.25213E+11	【法国代购 】Babybio 伴宝乐 有机标准2段奶粉 900g 6-12月	-	0					
5.47143E+11	Babybio伴宝乐PRIMEA 2段标准型有机奶粉法国直邮4罐包邮包税另算	-	0					
43690892190	法国代购直邮伴宝乐babybio 2段标准配方有机奶粉6罐包邮900g	-	0					
5.52344E+11	【法国直邮】伴宝乐Babybio 2段高端标准有机奶粉/6-12个月/900g	-	0					
5.46016E+11	法国直邮babybio伴宝乐 2段（6-12月） 标准型奶粉 900克 6罐包邮	-	0					
5.34401E+11	代购 伴宝乐Babybio有机标准配方型2段 奶粉 900g	-	0					
41276225024	【法国6罐包邮】伴宝乐babybio标准2段高端有机婴儿奶粉 900g	-	0					
5.28252E+11	Babybio伴宝乐法国原产有机奶粉2段标准型900G含双歧 DHA	-	0					
5.52735E+11	6罐包税包邮法国进口伴宝乐/Babybio2段标准型有机奶粉6-12月900g	-	0					
5.24651E+11	德国balea芭乐雅玻尿酸原液进口补水保湿紧致精华液安瓶7支	-	1035					
5.22678E+11	法国代购Babybio/伴宝乐原装有机奶粉2段标准型	-	0					
5.27266E+11	德国balea芭乐雅橄榄油海藻保湿精华素胶囊7粒强效补水	-	160					
5.47577E+11	6罐直邮法国代购Babybio伴宝乐PRIMEA有-机2段标准配方奶粉 900g	-	0					
5.46043E+11	法国直邮伴宝乐BABYBIO婴幼儿有机奶粉2段 标准版	-	0					
5.41045E+11	法国直邮Babybio伴宝乐PRIMEA有机奶粉2段标准配方900g提高免疫	-	0					
5.43799E+11	法国代购 Babybio 伴宝乐 有机标准2段奶粉 900g 6-12月	-	1					
5.24874E+11	德国代购Balea芭乐雅Beauty Effect玻尿酸提拉紧致保湿浓缩精华	-	9					
5.4937E+11	国内现货Balea芭乐雅 Beauty Effect 玻尿酸系列浓缩精华安瓶7支	-	1					
39356988583	德国代购 Balea Beauty Effect透明质酸玻尿酸 浓缩精华7支装	-	4					
42252006346	德国直邮Balea Beauty Effect透明质酸玻尿酸系列浓缩精华安瓶7支	-	13					
5.46643E+11	德国Balea Beauty Effect 芭乐雅玻尿酸浓缩精华安瓶7支 补水紧致	-	11					
5.52234E+11	代购德国芭乐雅BALEA Beauty Effect玻尿酸紧致浓缩精华安瓶7瓶装	-	3					
5.21144E+11	德国直邮丨芭乐雅Balea Beauty Effect透明质酸玻尿酸浓缩精华	-	9					
45242486374	德国原装Balea Beauty Effect芭乐雅玻尿酸浓缩精华安瓶7支	-	0					
5.20902E+11	德国Balea Beauty Effect透明质酸玻尿酸系列浓缩精华安瓶7支	-	0					
5.46466E+11	德国芭乐雅BALEA Beauty Effect 玻尿酸紧致提拉浓缩精华安瓶	-	3					
5.29345E+11	【现货】芭乐雅 Balea Beauty Effect 透明质酸玻尿酸浓缩精华	-	1					
5.28448E+11	德国Balea芭乐雅 Beauty Effect玻尿酸提拉紧致保湿浓缩精华安瓶	-	0					
