item_id	item_name	trade	comments						
5.34401E+11	代购 伴宝乐Babybio有机标准配方型2段 奶粉 900g	0	0						
5.45641E+11	法国伴宝乐BabyBio 2段标准有机奶粉900克/6罐法国直邮/高端有机	0	1						
5.4625E+11	法国直邮代购伴宝乐babybio2段二段标准成长型有机牛奶粉 包邮	0	0						
5.48715E+11	法国代购伴宝乐/BABYBIO 二段标准婴儿奶粉6-12月 900克	0	0						
37441287088	Babybio伴宝乐Croissance 3段有机奶粉/法国直邮4罐包邮/包税另算	720	2080						
5.31009E+11	直邮/现货!法国代购Babybio PRIMEA伴宝乐有机奶粉标准型2段奶粉	0	0						
5.4114E+11	伴宝乐含益生菌绿色有机900g标准型婴儿2段牛奶粉 法国代购海外购	0	0						
5.21732E+11	Babybio伴宝乐PRIMEA 2段标准型有机奶粉法国直邮4罐包邮包税另算	28	70						
5.46766E+11	法国代购包税直邮 伴宝乐/BABYBIO 二段标准婴儿奶粉6-12月 900克	0	0						
5.38735E+11	法国代购 / babybio伴宝乐2段 标准型奶粉有机配方900克 6罐包邮	0	0						
5.22678E+11	法国代购Babybio/伴宝乐原装有机奶粉2段标准型 法国直邮	0	0						
5.44135E+11	【法国直邮】伴宝乐/Babybio primea2段标准有机奶粉6-12月/900g	6	12						
5.46119E+11	【4罐法国直邮】Babybio伴宝乐Optima 2段标准配方 绿色有机奶粉	0	2						
5.48174E+11	现货!法国代购Babybio PRIMEA伴宝乐有机奶粉标准型2段奶粉	2	1						
5.25461E+11	法国直邮伴宝乐babybio optima天然有机奶近母乳1段900g4罐包邮	4	9						
5.3105E+11	法国直邮 Babybio伴宝乐Primea2段标准有机奶粉 6-12月	0	0						
5.40414E+11	法国直邮 babybio 伴宝乐 2段 标准型奶粉 有机配方900克	4	21						
13923946163	6罐包法国直邮 高端BIO奶粉 Babybio标准2二段900克 只直邮	0	0						
5.21062E+11	【6罐包税直邮】法国伴宝乐Babybio Primea 2段标准有机奶粉	0	0						
5.31931E+11	法国直邮Babybio伴宝乐有机奶粉标准版2段6-12个月 3罐包直邮免税	0	0						
5.28168E+11	法国代购包税直邮 伴宝乐/BABYBIO 2段标准 有机婴儿奶粉6-12个月	0	0						
5.36209E+11	Babybio伴宝乐OPTIMA RELAIS 2 标准型有机奶粉2段/4罐法国直邮	0	9						
5.30404E+11	国内现货 伴宝乐BABYBIO 有机标准配方奶粉 2段 6月+	0	0						
5.20503E+11	代购 babybio伴宝乐有机奶粉2段标准型900克6个直邮	0	3						
5.48869E+11	法国Babybio伴宝乐PRIMEA 2段标准型天然有机婴儿奶粉6罐直邮包税	0	0						
5.25708E+11	法国代购6罐直邮/原装伴宝乐babybio高端有机奶粉2段 标准型配方	1	2						
45408243853	【法国直邮】 babybio 伴宝乐 bio标准2段奶粉 新配方	0	0						
