item_id	item_name	trade	comments					
5.21081E+11	法国直邮代购 babybio伴宝乐有机二段奶粉 标准版2段  900g可包税	0	0					
45387594005	【定购】法国代购babybio伴宝乐有机奶粉2段标准型900克6个直邮	0	2					
5.23028E+11	法国代购直邮/伴宝乐Babybio Primea 2段标准有机奶粉/6-12月	12	7					
5.21732E+11	Babybio伴宝乐PRIMEA 2段标准型有机奶粉法国直邮4罐包邮包税另算	24	74					
5.4625E+11	法国直邮代购伴宝乐babybio2段二段标准成长型有机牛奶粉 包邮	0	0					
5.31009E+11	直邮/现货!法国代购Babybio PRIMEA伴宝乐有机奶粉标准型2段奶粉	0	0					
5.44135E+11	【法国直邮】伴宝乐/Babybio primea2段标准有机奶粉6-12月/900g	18	13					
5.50213E+11	法国直邮原装伴宝乐BABYBIO2段PRIMEA标准配方婴幼儿牛奶粉900g	0	0					
37441287088	Babybio伴宝乐Croissance 3段有机奶粉/法国直邮4罐包邮/包税另算	537	2050					
5.21732E+11	Babybio伴宝乐PRIMEA 2段标准型有机奶粉法国直邮4罐包邮包税另算	24	74					
5.40414E+11	法国直邮 babybio 伴宝乐 2段 标准型奶粉 有机配方900克	8	22					
5.32029E+11	法国直邮包邮包税Babybio伴宝乐Croissance3段绿色有机奶粉婴幼儿	218	402					
5.25708E+11	法国代购6罐直邮/原装伴宝乐babybio高端有机奶粉2段 标准型配方	1	2					
45408243853	【法国直邮】 babybio 伴宝乐 bio标准2段奶粉 新配方	4	0					
5.43846E+11	法国直邮-代购法国babybio伴宝乐有机2段标准型奶粉6个月到12个月	1	3					
5.51035E+11	[6罐包税直邮]伴宝乐Babybio Primea DHA有机奶粉 标准2段 900g	0	0					
26728528044	法国直邮6罐包邮babybio伴宝乐2段optima有机天然标准奶粉6-10月	0	0					
5.37396E+11	法国直邮包邮 Babybio 伴宝乐标准型有机奶粉2段/ 6-18月/900g	0	0					
5.47143E+11	Babybio伴宝乐PRIMEA 2段标准型有机奶粉法国直邮4罐包邮包税另算	0	0					
5.46662E+11	法国代购直邮/包税 伴宝乐Babybio2段标准有机奶粉6-12月900g罐装	0	0					
5.25213E+11	【法国代购 】Babybio 伴宝乐 有机标准2段奶粉 900g 6-12月	0	0					
5.42258E+11	法国直邮 法国Babybio伴宝乐标准型有机奶粉2段900g6罐包邮	0	1					
43690892190	法国代购直邮伴宝乐babybio 2段标准配方有机奶粉6罐包邮900g	0	0					
5.23224E+11	【6桶直邮】法国伴宝乐babybio有机婴儿奶粉标准2段6-12个月900g	0	0					
5.23988E+11	海外直邮法国代购babybio伴宝乐有机奶粉 二段900g标准型罐装包邮	0	1					
5.50067E+11	【法国直邮】伴宝乐/Babybio primea2段标准有机奶粉6-12月 900g	0	0					
5.2307E+11	法国代购直邮/法国原装伴宝乐babybio高端有机奶粉2段 标准型配方	0	0					
5.44501E+11	[法国原装] Babybio伴宝乐标准配方有机奶粉2段 900G	0	0					
5.24439E+11	法国妹妹直邮 Babybio伴宝乐Primea2段标准有机奶粉 6-12月	-	-					
15128202752	4罐直邮包邮  伴宝乐BABYBIO婴幼儿有机奶粉2段 标准版法国代购	0	0					
5.46766E+11	法国代购包税直邮 伴宝乐/BABYBIO 二段标准婴儿奶粉6-12月 900克	0	0					
5.45641E+11	法国伴宝乐BabyBio 2段标准有机奶粉900克/6罐法国直邮/高端有机	0	1					
5.4114E+11	伴宝乐含益生菌绿色有机900g标准型婴儿2段牛奶粉 法国代购海外购	0	0					
5.47317E+11	法国Babybio伴宝乐2段标准型有机婴儿奶粉6-12个月4罐包税直邮	0	0					
5.48174E+11	现货!法国代购Babybio PRIMEA伴宝乐有机奶粉标准型2段奶粉	2	1					
5.3824E+11	babybio伴宝乐2段二段PRIEMA 6-12月标准配方型婴儿有机牛奶粉	0	1					
5.3105E+11	法国直邮 Babybio伴宝乐Primea2段标准有机奶粉 6-12月	0	0					
5.36209E+11	Babybio伴宝乐OPTIMA RELAIS 2 标准型有机奶粉2段/4罐法国直邮	0	9					
5.28168E+11	法国代购包税直邮 伴宝乐/BABYBIO 2段标准 有机婴儿奶粉6-12个月	0	0					
5.31931E+11	法国直邮Babybio伴宝乐有机奶粉标准版2段6-12个月 3罐包直邮免税	0	0					
5.20503E+11	代购 babybio伴宝乐有机奶粉2段标准型900克6个直邮	0	3					
5.30404E+11	国内现货 伴宝乐BABYBIO 有机标准配方奶粉 2段 6月+	0	0					
5.21062E+11	【6罐包税直邮】法国伴宝乐Babybio Primea 2段标准有机奶粉	0	0					
5.39531E+11	【巴黎直代】法国原装伴宝乐Babybio 2段标准配方奶粉【6罐减66】	0	1					
5.37339E+11	伴宝乐标准型型有机奶粉2段 Babybio primea2  6罐直邮	0	0					
5.48869E+11	法国Babybio伴宝乐PRIMEA 2段标准型天然有机婴儿奶粉6罐直邮包税	0	0					
13923946163	6罐包法国直邮 高端BIO奶粉 Babybio标准2二段900克 只直邮	0	0					
5.46366E+11	法国代购Babybio伴宝乐绿色有机Primea2段标准有机奶粉6-12月推荐	0	0					
5.28301E+11	法国 Babybio伴宝乐 二段 标准型 高端有机奶粉 【法国直邮】	0	0					
5.22678E+11	法国代购Babybio/伴宝乐原装有机奶粉2段标准型 法国直邮	0	0					
5.47577E+11	6罐直邮法国代购Babybio伴宝乐PRIMEA有-机2段标准配方奶粉 900g	0	0					
5.45414E+11	法国Babybio 伴宝乐2段标准型有机奶粉配方奶粉900g	0	0					
5.44544E+11	【法国直邮】伴宝乐/Babybio primea2段标准有机奶粉6-12月/900g	0	0					
5.2295E+11	法国代购 Babybio伴宝乐二段 标准成长 有机牛奶粉 6-12月 900G	0	0					
5.24651E+11	德国balea芭乐雅玻尿酸原液进口补水保湿提拉紧致精华液安瓶7支	782	1064					
5.46016E+11	法国直邮babybio伴宝乐 2段（6-12月） 标准型奶粉 900克 6罐包邮	0	0					
5.34401E+11	代购 伴宝乐Babybio有机标准配方型2段 奶粉 900g	0	0					
5.48752E+11	现货德国Balea芭乐雅玻尿酸浓缩精华液保湿补水安瓶7支装7ml	86	19					
41276225024	【法国6罐包邮】伴宝乐babybio标准2段高端有机婴儿奶粉 900g	0	1					
5.49274E+11	法国BABYBIO伴宝乐2段标准型/900G克/有机绿色高端奶粉/直邮	0	0					
5.28252E+11	Babybio伴宝乐法国原产有机奶粉2段标准型900G含双歧 DHA	0	0					
5.20352E+11	【法国直邮】伴宝乐/Babybio primea2段 标准有机奶粉6-12月/900g	0	8					
5.43799E+11	法国代购 Babybio 伴宝乐 有机标准2段奶粉 900g 6-12月	-	-					
5.46043E+11	法国直邮伴宝乐BABYBIO婴幼儿有机奶粉2段 标准版	-	-					
5.4573E+11	Babybio 标准版2段婴儿奶粉6-10个月，法国天然有机婴儿奶粉	0	0					
5.36942E+11	澳洲代购德国芭乐雅BALEA Beauty Effect 玻尿酸紧致浓缩精华安瓶	52	208					
37585337258	德国芭乐雅 Balea Beauty Effect透明质酸（玻尿酸）系列浓缩精华	6	0					
39356988583	德国代购 Balea Beauty Effect透明质酸玻尿酸 浓缩精华7支装	7	2					
42252006346	德国直邮Balea Beauty Effect透明质酸玻尿酸系列浓缩精华安瓶7支	-	-					
44569925037	德国直邮   Balea Beauty Effect 玻尿酸系列浓缩精华安瓶7支	-	-					
5.4937E+11	国内现货Balea芭乐雅 Beauty Effect 玻尿酸系列浓缩精华安瓶7支	0	0					
5.35372E+11	德国Balea Beauty Effect芭乐雅 玻尿酸浓缩精华 7ml 紧致保湿	0	3					
5.21144E+11	德国直邮丨芭乐雅Balea Beauty Effect透明质酸玻尿酸浓缩精华	0	14					
5.29345E+11	【现货】芭乐雅 Balea Beauty Effect 透明质酸玻尿酸浓缩精华	0	1					
5.20902E+11	德国Balea Beauty Effect透明质酸玻尿酸系列浓缩精华安瓶7支	0	0					
5.41335E+11	现货德国芭乐雅BALEA Beauty Effect 玻尿酸紧致提拉浓缩精华安瓶	0	10					
35186191016	德国Balea Beauty Effect芭乐雅代购/玻尿酸系列浓缩精华安瓶7支	0	0					
5.49591E+11	澳洲代购德国芭乐雅BALEA Beauty Effect 玻尿酸紧致浓缩精华安瓶	1	1					
5.48597E+11	澳洲直邮 芭乐雅BALEA Beauty Effect 玻尿酸紧致浓缩精华安瓶	0	0					
5.24874E+11	德国代购Balea芭乐雅Beauty Effect玻尿酸提拉紧致保湿浓缩精华	0	9					
5.49548E+11	Balea芭乐雅 Beauty Effect 玻尿酸紧致提拉浓缩精华安瓶7支	0	0					
5.27499E+11	德国代购 芭乐雅Balea Beauty Effect透明质酸玻尿酸浓缩精华	0	1					
5.28448E+11	德国Balea芭乐雅 Beauty Effect玻尿酸提拉紧致保湿浓缩精华安瓶	0	0					
5.34931E+11	芭乐雅BALEA Beauty Effect 玻尿酸紧致提拉浓缩精华安瓶7×1ml	1	1					
5.24292E+11	德国 Balea芭乐雅 Beauty Effect 玻尿酸紧致提拉浓缩精华安瓶	0	1					
45039675017	德国Balea Beauty Effect玻尿酸紧致提拉浓缩精华安瓶7支*1ml	0	0					
41156021819	现货德国Balea Beauty Effect 玻尿酸紧致提拉浓缩精华安瓶7支	0	0					
